HASH,FILE,DONE,AUTHOR,CREATE,MODIFY,TYPE
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Checkout.java,x,Gabriel Roldan (Boundless),2012,2014,java
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/CherryPick.java,x,Gabriel Roldan (Boundless),2012,2013,java
25e5d1887fa5464bb5d98812ef19421b13da3bd6,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Clean.java,x,Victor Olaya (Boundless),2012,2014,java
a6b373032949ae10f118da6736b1e1e6747f78e5,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Clone.java,x,Johnathan Garrett (LMN Solutions),2012,2014,java
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/ColorArg.java,x,Gabriel Roldan (Boundless),2012,2013,java
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Commit.java,x,Gabriel Roldan (Boundless),2012,2013,java
b5f050f437824f9d4e484d321f66108d7c715ebb,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Config.java,x,Michael Fawcett (LMN Solutions),2012,2014,java
4b966bb6aa5a018d0c8b610512b24efbe5ddb0c1,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Conflicts.java,x,Victor Olaya (Boundless),2013,2014,java
6ce38ad65e7911884b6f27ac2bc3379b0077669e,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Diff.java,x,Gabriel Roldan (Boundless),2012,2014,java
ba3b4ec0681290c29083f0283088fed95e60b969,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/DiffPrinter.java,x,Victor Olaya (Boundless),2013,2013,java
a6b373032949ae10f118da6736b1e1e6747f78e5,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Fetch.java,x,Johnathan Garrett (LMN Solutions),2012,2014,java
17e965a3891ffcb71d01b1eca20cc9144d8f7f71,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/FetchResultPrinter.java,x,Gabriel Roldan (Boundless),2014,2014,java
18a68a0c71577c11d59fa52027a0949a3782d439,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/FormatPatch.java,x,Victor Olaya (Boundless),2013,2014,java
314c938f6b2828f1d2fe86a5d71d19fc986383ec,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Help.java,x,Michael Fawcett (LMN Solutions),2012,2014,java
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Init.java,x,Gabriel Roldan (Boundless),2012,2014,java
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Log.java,x,Gabriel Roldan (Boundless),2012,2014,java
35125cd4009d048e11271c83ec2b7b36961a3f02,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/LogArgs.java,x,Gabriel Roldan (Boundless),2013,2014,java
ebd46991c78c39ffc4513aacf75135708b782158,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Ls.java,x,Victor Olaya (Boundless),2013,2014,java
fc566e86240f09720ed569ba272a9baa52bb0959,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Merge.java,x,Johnathan Garrett (LMN Solutions),2012,2013,java
a6b373032949ae10f118da6736b1e1e6747f78e5,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Pull.java,x,Johnathan Garrett (LMN Solutions),2012,2014,java
a6b373032949ae10f118da6736b1e1e6747f78e5,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Push.java,x,Johnathan Garrett (LMN Solutions),2012,2014,java
191b1c635b2dd021e6ebd346fbb467293f684a7f,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Rebase.java,x,Johnathan Garrett (LMN Solutions),2012,2013,java
f7a881780b5a044b216f0eeee9374784ef0ebd7a,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/RemoteAdd.java,x,Johnathan Garrett (LMN Solutions),2012,2014,java
f7a881780b5a044b216f0eeee9374784ef0ebd7a,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/RemoteExtension.java,x,Johnathan Garrett (LMN Solutions),2012,2013,java
f7a881780b5a044b216f0eeee9374784ef0ebd7a,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/RemoteList.java,x,Johnathan Garrett (LMN Solutions),2012,2014,java
f7a881780b5a044b216f0eeee9374784ef0ebd7a,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/RemoteRemove.java,x,Johnathan Garrett (LMN Solutions),2012,2014,java
fce7f34222bca8cde9865763112ac843c8763c99,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Remove.java,x,Victor Olaya (Boundless),2012,2014,java
191b1c635b2dd021e6ebd346fbb467293f684a7f,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Reset.java,x,Johnathan Garrett (LMN Solutions),2012,2014,java
68ea035f92640263d918a9ee6c8eec12228989b0,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Revert.java,x,Kelsey Ishmael (LMN Solutions),2013,2013,java
18a68a0c71577c11d59fa52027a0949a3782d439,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Show.java,x,Victor Olaya (Boundless),2013,2014,java
7ed8366b5b1eedc4b3e470b0a16a2790143e08c8,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Squash.java,x,Victor Olaya (Boundless),2013,2013,java
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Status.java,x,Gabriel Roldan (Boundless),2012,2014,java
96c35db51d5acdf73b40e781fea331b7aefc4ac6,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Tag.java,x,Victor Olaya (Boundless),2013,2014,java
16c5ee9fb297eeb1277bace178569f9be7256e70,src/cli/src/main/java/org/locationtech/geogig/cli/porcelain/Version.java,x,Johnathan Garrett (LMN Solutions),2013,2014,java
314c938f6b2828f1d2fe86a5d71d19fc986383ec,src/cli/src/main/resources/META-INF/services/org.geogig.cli.CLIModule,0,Michael Fawcett (LMN Solutions),2012,2012,geogig.cli.CLIModule
673d841514a49f24aa559346bbe634c57346a5ca,src/cli/src/main/resources/logback.xml,0,Gabriel Roldan (Boundless),2013,2013,xml
